Location,Date,Time  ,CO (mg/m3),SO2(µg/m³),NO2(µg/m³),PM2.5(µg/m³),PM10(µg/m³),Temp(°C),RH (%)
NIT Srinagar,10/06/2022,10:00 AM,0.66 ,2.86 ,4.94 ,18.00 ,27.00 ,32.70 ,76.33 
NIT Srinagar,10/06/2022,10:10 AM,0.68 ,2.86 ,4.92 ,19.00 ,28.00 ,32.40 ,67.32 
NIT Srinagar,10/06/2022,10:20 AM,0.60 ,8.58 ,4.93 ,19.00 ,28.00 ,31.70 ,61.32 
NIT Srinagar,10/06/2022,10:30 AM,0.60 ,5.72 ,4.95 ,19.00 ,27.00 ,31.80 ,54.09 
NIT Srinagar,10/06/2022,10:40 AM,0.46 ,5.72 ,4.89 ,19.00 ,28.00 ,31.90 ,46.87 
NIT Srinagar,10/06/2022,10:50 AM,0.53 ,8.58 ,4.90 ,20.00 ,29.00 ,32.10 ,42.48 
NIT Srinagar,10/06/2022,11:00 AM,0.54 ,11.44 ,4.93 ,20.00 ,29.00 ,32.30 ,43.37 
NIT Srinagar,10/06/2022,11:00 AM,0.59 ,11.44 ,4.86 ,20.00 ,29.00 ,32.40 ,45.35 
NIT Srinagar,10/06/2022,11:10 AM,0.50 ,8.58 ,4.88 ,20.00 ,31.00 ,32.09 ,40.17 
NIT Srinagar,10/06/2022,11:20 AM,0.50 ,8.58 ,4.92 ,21.00 ,31.00 ,32.40 ,41.72 
NIT Srinagar,10/06/2022,11:30 AM,0.49 ,11.44 ,4.88 ,21.00 ,30.00 ,32.80 ,45.07 
NIT Srinagar,10/06/2022,11:40 AM,0.57 ,8.58 ,4.90 ,22.00 ,34.00 ,33.10 ,51.10 
NIT Srinagar,10/06/2022,11:50 AM,0.46 ,8.58 ,4.89 ,21.00 ,37.00 ,33.20 ,57.01 
NIT Srinagar,10/06/2022,12:00 PM,0.42 ,8.58 ,4.89 ,21.00 ,34.00 ,33.20 ,67.55 
NIT Srinagar,10/06/2022,12:10 PM,0.42 ,0.00 ,4.89 ,23.00 ,38.00 ,33.30 ,79.78 
NIT Srinagar,10/06/2022,12:20 PM,0.41 ,14.30 ,4.94 ,22.00 ,37.00 ,33.50 ,82.12 
NIT Srinagar,10/06/2022,12:30 PM,0.19 ,11.44 ,4.96 ,24.00 ,40.00 ,33.07 ,84.15 
NIT Srinagar,10/06/2022,12:40 PM,0.09 ,11.44 ,4.93 ,21.00 ,34.00 ,33.50 ,89.56 
NIT Srinagar,10/06/2022,12:50 PM,0.26 ,14.30 ,4.89 ,22.00 ,32.00 ,33.50 ,90.46 
NIT Srinagar,10/06/2022,1:00 PM,0.24 ,14.30 ,4.93 ,21.00 ,32.00 ,33.70 ,92.29 
NIT Srinagar,10/06/2022,1:10 PM,0.22 ,8.58 ,4.98 ,21.00 ,32.00 ,33.80 ,76.37 
NIT Srinagar,10/06/2022,1:20 PM,0.19 ,8.58 ,4.93 ,21.00 ,35.00 ,33.90 ,58.56 
NIT Srinagar,10/06/2022,1:30 PM,0.09 ,8.58 ,4.95 ,22.00 ,35.00 ,33.70 ,53.06 
NIT Srinagar,10/06/2022,1:40 PM,0.10 ,8.58 ,4.93 ,24.00 ,38.00 ,33.50 ,51.12 
NIT Srinagar,10/06/2022,1:50 PM,0.58 ,11.44 ,4.88 ,24.00 ,42.00 ,33.66 ,49.78 
NIT Srinagar,10/06/2022,2:00 PM,0.78 ,11.44 ,4.90 ,26.00 ,45.00 ,33.50 ,45.29 
NIT Srinagar,10/06/2022,2:10 PM,0.76 ,8.58 ,4.90 ,24.00 ,46.00 ,33.10 ,47.68 
NIT Srinagar,10/06/2022,2:20 PM,0.71 ,5.72 ,4.98 ,23.00 ,43.00 ,33.00 ,52.33 
NIT Srinagar,10/06/2022,2:30 PM,0.70 ,11.44 ,4.92 ,22.00 ,42.00 ,32.70 ,50.59 
NIT Srinagar,10/06/2022,2:40 PM,0.77 ,8.58 ,4.90 ,22.00 ,43.00 ,32.40 ,54.61 
NIT Srinagar,10/06/2022,2:50 PM,0.74 ,11.44 ,4.95 ,23.00 ,43.00 ,32.20 ,60.77 
NIT Srinagar,10/06/2022,3:00 PM,0.98 ,5.72 ,4.92 ,19.00 ,35.00 ,32.00 ,63.32 
NIT Srinagar,10/06/2022,3:10 PM,1.06 ,8.58 ,4.90 ,18.00 ,34.00 ,32.70 ,78.25 
NIT Srinagar,10/06/2022,3:20 PM,1.25 ,11.44 ,4.88 ,19.00 ,29.00 ,34.00 ,81.19 
NIT Srinagar,10/06/2022,3:30 PM,0.09 ,11.44 ,4.88 ,18.00 ,32.00 ,34.10 ,86.03 
NIT Srinagar,10/06/2022,3:40 PM,0.10 ,5.72 ,4.90 ,17.00 ,53.00 ,34.20 ,91.16 
NIT Srinagar,10/06/2022,3:50 PM,0.58 ,8.58 ,4.90 ,16.00 ,40.00 ,32.20 ,93.57 
NIT Srinagar,10/06/2022,4:00 PM,0.78 ,5.72 ,4.89 ,14.00 ,37.00 ,32.50 ,96.76 
NIT Srinagar,10/06/2022,4:10 PM,0.76 ,11.44 ,4.95 ,13.00 ,32.00 ,32.60 ,78.87 
NIT Srinagar,10/06/2022,4:20 PM,0.71 ,8.58 ,4.93 ,13.00 ,32.00 ,32.70 ,66.98 
NIT Srinagar,10/06/2022,4:30 PM,0.70 ,11.44 ,4.93 ,14.00 ,34.00 ,32.60 ,51.72 
NIT Srinagar,10/06/2022,4:40 PM,0.77 ,11.44 ,4.91 ,14.00 ,38.00 ,32.80 ,42.45 
NIT Srinagar,10/06/2022,4:50 PM,0.74 ,8.58 ,4.92 ,13.00 ,42.00 ,33.20 ,40.37 
NIT Srinagar,10/06/2022,5:00 PM,0.72 ,14.30 ,4.94 ,16.00 ,38.00 ,32.70 ,37.89 
NIT Srinagar,11/06/2022,10:00 AM,0.67 ,28.60 ,4.91 ,11.00 ,20.00 ,33.50 ,37.18 
NIT Srinagar,11/06/2022,10:10 AM,0.73 ,20.02 ,4.92 ,11.00 ,21.00 ,33.70 ,36.66 
NIT Srinagar,11/06/2022,10:20 AM,0.71 ,25.74 ,4.89 ,13.00 ,23.00 ,33.50 ,33.89 
NIT Srinagar,11/06/2022,10:30 AM,0.73 ,28.60 ,4.89 ,17.00 ,24.00 ,33.60 ,39.20 
NIT Srinagar,11/06/2022,10:40 AM,0.83 ,14.30 ,4.98 ,17.00 ,29.00 ,33.50 ,47.70 
NIT Srinagar,11/06/2022,10:50 AM,0.87 ,11.44 ,4.87 ,19.00 ,29.00 ,32.60 ,57.29 
NIT Srinagar,11/06/2022,11:00 AM,0.80 ,8.58 ,4.88 ,21.00 ,38.00 ,34.00 ,62.74 
NIT Srinagar,11/06/2022,11:10 AM,0.80 ,8.58 ,4.93 ,23.00 ,38.00 ,34.10 ,74.16 
NIT Srinagar,11/06/2022,11:20 AM,0.41 ,11.44 ,4.89 ,22.00 ,38.00 ,34.20 ,79.51 
NIT Srinagar,11/06/2022,11:30 AM,0.27 ,8.58 ,4.84 ,22.00 ,37.00 ,32.20 ,82.82 
NIT Srinagar,11/06/2022,11:40 AM,0.24 ,11.44 ,4.92 ,16.00 ,22.00 ,32.50 ,86.38 
NIT Srinagar,11/06/2022,11:50 AM,0.25 ,11.44 ,4.94 ,16.00 ,29.00 ,32.60 ,93.06 
NIT Srinagar,11/06/2022,12:00 PM,0.48 ,8.58 ,4.92 ,16.00 ,24.00 ,32.70 ,89.64 
NIT Srinagar,11/06/2022,12:10 PM,0.62 ,8.58 ,4.93 ,17.00 ,24.00 ,32.60 ,56.82 
NIT Srinagar,11/06/2022,12:20 PM,0.59 ,5.72 ,4.93 ,12.00 ,24.00 ,31.40 ,49.17 
NIT Srinagar,11/06/2022,12:30 PM,0.57 ,11.44 ,4.92 ,12.00 ,21.00 ,31.70 ,42.12 
NIT Srinagar,11/06/2022,12:40 PM,0.47 ,11.44 ,4.90 ,14.00 ,22.00 ,31.80 ,39.00 
NIT Srinagar,11/06/2022,12:50 PM,0.47 ,14.30 ,4.89 ,13.00 ,19.00 ,31.90 ,36.70 
