Location,Date,Time,CO (mg/m3),SO2(µg/m³),NO2(µg/m³),PM2.5(µg/m³),PM10(µg/m³),Temp(°C),RH (%),Month,Season,Hour,AQI_Category
NIT Srinagar,2022-10-06,10:00 AM,0.66,2.86,4.94,18.0,27.0,32.7,76.33,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,10:10 AM,0.68,2.86,4.92,19.0,28.0,32.4,67.32,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,10:20 AM,0.6,8.58,4.93,19.0,28.0,31.7,61.32,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,10:30 AM,0.6,5.72,4.95,19.0,27.0,31.8,54.09,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,10:40 AM,0.46,5.72,4.89,19.0,28.0,31.9,46.87,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,10:50 AM,0.53,8.58,4.9,20.0,29.0,32.1,42.48,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:00 AM,0.54,11.44,4.93,20.0,29.0,32.3,43.37,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:00 AM,0.59,11.44,4.86,20.0,29.0,32.4,45.35,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:10 AM,0.5,8.58,4.88,20.0,31.0,32.09,40.17,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:20 AM,0.5,8.58,4.92,21.0,31.0,32.4,41.72,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:30 AM,0.49,11.44,4.88,21.0,30.0,32.8,45.07,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:40 AM,0.57,8.58,4.9,22.0,34.0,33.1,51.1,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,11:50 AM,0.46,8.58,4.89,21.0,37.0,33.2,57.01,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,12:00 PM,0.42,8.58,4.89,21.0,34.0,33.2,67.55,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,12:10 PM,0.42,0.0,4.89,23.0,38.0,33.3,79.78,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,12:20 PM,0.41,14.3,4.94,22.0,37.0,33.5,82.12,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,12:30 PM,0.19,11.44,4.96,24.0,40.0,33.07,84.15,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,12:40 PM,0.09,11.44,4.93,21.0,34.0,33.5,89.56,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,12:50 PM,0.26,14.3,4.89,22.0,32.0,33.5,90.46,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,1:00 PM,0.24,14.3,4.93,21.0,32.0,33.7,92.29,10.0,Autumn,,Moderate
NIT Srinagar,2022-10-06,1:10 PM,0.22,8.58,4.98,21.0,32.0,33.8,76.37,10.0,Autumn,,Moderate
